Year,xi (ppm),yi (%)
2011,391,113
2012,393,120
2013,396,126
2014,398,139
2015,400,167
2016,403,189
2017,406,170
2018,408,157
2019,411,181
2020,414,189
2021,416,157
2022,418,167
