0.771,0.951,0.912,0.688,0.873,0.953,0.613,0.927,0.585,0.835,0.477,0.496,0.594,0.512,0.662,0.768,0.635,0.575,0.768,0.811,0.827,0.673,0.949,0.939,1.055
0.714,0.826,0.847,0.679,0.801,0.85,0.577,0.866,0.577,0.866,0.454,0.45,0.512,0.478,0.583,0.588,0.557,0.489,0.713,0.655,0.714,0.492,0.852,0.835,0.989
0.658,0.737,0.689,0.662,0.732,0.732,0.547,0.799,0.543,0.803,0.45,0.402,0.441,0.409,0.586,0.501,0.487,0.432,0.644,0.593,0.66,0.427,0.711,0.723,0.894
0.537,0.638,0.514,0.558,0.64,0.612,0.448,0.605,0.45,0.55,0.433,0.331,0.392,0.319,0.564,0.386,0.377,0.375,0.528,0.496,0.535,0.447,0.559,0.622,0.681
0.587,0.738,0.504,0.655,0.75,0.724,0.508,0.618,0.515,0.563,0.538,0.389,0.489,0.375,0.687,0.429,0.404,0.408,0.599,0.601,0.601,0.584,0.586,0.716,0.663
0.671,0.911,0.622,0.738,0.82,0.882,0.463,0.671,0.614,0.577,0.593,0.504,0.562,0.395,0.708,0.539,0.488,0.449,0.807,0.694,0.66,0.751,0.701,0.791,0.726
0.768,1.121,0.805,0.838,0.907,1.013,0.473,0.771,0.734,0.642,0.661,0.613,0.637,0.436,0.748,0.671,0.597,0.525,1.009,0.81,0.729,0.908,0.855,0.908,0.837
0.837,1.162,0.892,0.883,0.955,1.087,0.549,0.842,0.815,0.732,0.724,0.599,0.647,0.487,0.757,0.74,0.669,0.569,1.035,0.835,0.775,0.931,0.907,1.031,0.914
0.673,0.869,0.697,0.67,0.692,0.86,0.51,0.646,0.624,0.675,0.554,0.383,0.415,0.439,0.611,0.607,0.603,0.442,0.75,0.669,0.619,0.656,0.737,0.894,0.813
0.678,0.87,0.728,0.656,0.681,0.859,0.56,0.658,0.642,0.713,0.561,0.344,0.387,0.449,0.581,0.627,0.625,0.451,0.722,0.671,0.601,0.611,0.731,0.948,0.84
0.741,0.965,0.79,0.704,0.775,0.925,0.604,0.716,0.724,0.836,0.616,0.353,0.421,0.474,0.641,0.693,0.647,0.501,0.79,0.718,0.64,0.623,0.801,1.036,0.916
0.755,1.05,0.728,0.668,0.866,0.938,0.493,0.829,0.716,0.938,0.469,0.366,0.461,0.438,0.727,0.772,0.576,0.519,0.907,0.641,0.667,0.552,0.956,1.079,0.892
0.682,0.993,0.692,0.562,0.798,0.869,0.369,0.783,0.68,0.911,0.355,0.338,0.396,0.362,0.638,0.751,0.515,0.474,0.921,0.566,0.571,0.466,0.934,0.948,0.837
0.633,0.934,0.639,0.516,0.749,0.81,0.343,0.731,0.649,0.847,0.322,0.309,0.361,0.331,0.596,0.71,0.477,0.458,0.866,0.524,0.525,0.418,0.881,0.897,0.785
0.706,1.008,0.717,0.573,0.827,0.868,0.363,0.794,0.713,0.91,0.345,0.334,0.424,0.36,0.658,0.781,0.524,0.5,0.924,0.573,0.602,0.443,0.934,0.983,0.846
0.29,0.405,0.292,0.295,0.311,0.39,0.215,0.292,0.298,0.358,0.211,0.194,0.161,0.204,0.277,0.287,0.26,0.219,0.375,0.29,0.242,0.275,0.38,0.386,0.359
0.208,0.254,0.224,0.212,0.213,0.241,0.178,0.22,0.213,0.226,0.154,0.123,0.103,0.158,0.171,0.174,0.188,0.151,0.219,0.182,0.16,0.199,0.239,0.26,0.237
0.161,0.185,0.168,0.172,0.17,0.175,0.165,0.155,0.167,0.173,0.139,0.094,0.076,0.122,0.133,0.116,0.139,0.119,0.144,0.148,0.12,0.146,0.158,0.189,0.179
0.135,0.157,0.134,0.138,0.151,0.138,0.136,0.12,0.136,0.153,0.114,0.076,0.062,0.089,0.113,0.093,0.105,0.095,0.118,0.123,0.103,0.104,0.127,0.15,0.151
0.137,0.159,0.123,0.144,0.162,0.141,0.142,0.123,0.126,0.16,0.118,0.07,0.076,0.087,0.128,0.089,0.096,0.092,0.116,0.119,0.122,0.094,0.125,0.16,0.15
0.162,0.18,0.136,0.179,0.201,0.167,0.183,0.144,0.137,0.186,0.154,0.077,0.11,0.107,0.168,0.095,0.104,0.107,0.123,0.141,0.164,0.106,0.138,0.199,0.175
0.13,0.155,0.115,0.13,0.158,0.129,0.122,0.122,0.109,0.156,0.1,0.065,0.082,0.075,0.125,0.087,0.084,0.085,0.12,0.103,0.127,0.074,0.126,0.155,0.145
0.127,0.15,0.095,0.134,0.17,0.135,0.129,0.127,0.104,0.157,0.1,0.056,0.094,0.079,0.143,0.081,0.071,0.081,0.114,0.098,0.133,0.07,0.124,0.163,0.128
0.165,0.178,0.102,0.191,0.239,0.178,0.193,0.164,0.129,0.193,0.154,0.065,0.144,0.114,0.211,0.087,0.077,0.106,0.119,0.13,0.182,0.095,0.138,0.219,0.147
0.11,0.14,0.089,0.107,0.146,0.115,0.089,0.113,0.098,0.134,0.071,0.053,0.078,0.064,0.114,0.081,0.061,0.072,0.115,0.08,0.105,0.064,0.118,0.145,0.116
0.075,0.105,0.068,0.06,0.094,0.078,0.041,0.078,0.074,0.093,0.03,0.036,0.043,0.04,0.067,0.069,0.045,0.047,0.096,0.051,0.059,0.042,0.093,0.101,0.086
0.053,0.077,0.048,0.046,0.067,0.056,0.03,0.056,0.057,0.066,0.016,0.025,0.028,0.028,0.044,0.047,0.031,0.032,0.07,0.036,0.037,0.03,0.063,0.07,0.058
